id,name,description,external_url,background_color,body,background,clothes_org,eyes,face,mouth_org,hat_org,special_org,clothes,hat,mouth,special
1,AstarCat#0001,AstarCats info read me later,https://astar-cats.xyz/,FFFFFF,Pink,Dot,Lion Costume,Neutral,Pink,Chewing Gum,Silk Hat Pink,Ghost,Lion Costume,Silk Hat Pink,Chewing Gum,Ghost
2,AstarCat#0002,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Pink,Sailor Suit Purple,Neutral,Pink,Squiggle,Earrings,Rocket,Sailor Suit Purple,Earrings,Squiggle,Rocket
3,AstarCat#0003,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Yellow,Cloud T-shirt Purple,Cry,Blue,Beam Chum,Ribbon Yellow,Rabbit,Cloud T-shirt Purple,Ribbon Yellow,Beam Chum,Rabbit
4,AstarCat#0004,AstarCats info,https://astar-cats.xyz/,FFFFFF,Meatbun,Dot,Frilled Ribbon Black,Hearts,Meatbun,Surprised,Apple,Rocket,Frilled Ribbon Black,Apple,Surprised,Rocket
5,AstarCat#0005,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Orange,Heart T-shirt Yellow,Angry,Blue,Tongue,Bandage,Rocket,Heart T-shirt Yellow,Bandage,Tongue,Rocket
6,AstarCat#0006,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Blue,Heart T-shirt Yellow,Sparkle,Blue,Smoking,Snot Bubble,Duck,Heart T-shirt Yellow,Snot Bubble,Smoking,Smoking
7,AstarCat#0007,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Orange,Cat Costume,Heart Glasses,Blue,Neutral,HeadBand Blue,None,Cat Costume,HeadBand Blue,Neutral,None
8,AstarCat#0008,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Dark,Kindergarten Uniform Blue,Neutral,Pink,Neutral,Apricot Flower,None,Kindergarten Uniform Blue,Apricot Flower,Neutral,None
9,AstarCat#0009,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Dot,Dot T-shirt Pink,Embarrassed,Zombie,Neutral,Tiara,None,Dot T-shirt Pink,Tiara,Neutral,None
10,AstarCat#0010,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Flower,Sailor Suit Blue,3D Glasses,Pink,Happy,Knitted Hat Purple,None,Sailor Suit Blue,Knitted Hat Purple,Happy,None
11,AstarCat#0011,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Snow,Suit Yellow,Sleepy,Yellow,Uhh,Flower,None,Suit Yellow,Flower,Uhh,None
12,AstarCat#0012,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Heart,Ghost,Embarrassed,Pink,Smirk,Nightcap Blue,Rocket,Ghost,Nightcap Blue,Smirk,Rocket
13,AstarCat#0013,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Purple,Hoodie Green,Smirk,Pink,Bitter Smile,HeadBand Blue,None,Hoodie Green,HeadBand Blue,Bitter Smile,None
14,AstarCat#0014,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Flower,Flower T-shirt Green,Hearts,Zombie,Bitter Smile,Horn,None,Flower T-shirt Green,Horn,Bitter Smile,None
15,AstarCat#0015,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Purple,Shirt Pink,Squint,Pink,Bitter Smile,Silk Hat Pink,None,Shirt Pink,Silk Hat Pink,Bitter Smile,None
16,AstarCat#0016,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Yellow,Heart T-shirt Yellow,Neutral,Blue,Uhh,HeadBand Red,Duck,Heart T-shirt Yellow,HeadBand Red,Uhh,Duck
17,AstarCat#0017,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Yellow,None,XX,Pink,Smile,Knitted Hat Blue,None,None,Knitted Hat Blue,Smile,None
18,AstarCat#0018,AstarCats info,https://astar-cats.xyz/,FFFFFF,Meatbun,Dot,Heart T-shirt Blue,Sleepy,Meatbun,Mustache,Party Yellow,Shuriken,Heart T-shirt Blue,Party Yellow,Mustache,Shuriken
19,AstarCat#0019,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Pink,Kimono Blue,Sleepy,Zombie,Smile,Silk Hat Navy,None,Kimono Blue,Silk Hat Navy,Smile,None
20,AstarCat#0020,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Yellow,Suit Yellow,Wink,Yellow,Smirk,Ninja,None,Suit Yellow,Ninja,Smirk,None
21,AstarCat#0021,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Orange,Cloud T-shirt Purple,Squint,Pink,Smoking,Silk Hat Pink,Coin,Cloud T-shirt Purple,Silk Hat Pink,Smoking,Smoking
22,AstarCat#0022,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Blue,Scarf Yellow,Third Eye,Yellow,Teeth,Horn,None,Scarf Yellow,Horn,Teeth,None
23,AstarCat#0023,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Clouds,Shirt Pink,Squint,Pink,Beam Chum,Chef,None,Shirt Pink,Chef,Beam Chum,None
24,AstarCat#0024,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Pink,Flower T-shirt Orange,Neutral,Zombie,Mustache,Nightcap Blue,None,Flower T-shirt Orange,Nightcap Blue,Mustache,None
25,AstarCat#0025,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Blue,Astar Polkadot T-shirt,Sleepy,Blue,Surprised,HeadBand Green,Ghost,Astar Polkadot T-shirt,HeadBand Green,Surprised,Ghost
26,AstarCat#0026,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Purple,Track Suit Gray,Hearts,Yellow,Uhh,Sprout,None,Track Suit Gray,Sprout,Uhh,None
27,AstarCat#0027,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Snow,Kimono Pink,Sleepy,Blue,Happy,HeadBand Red,Coin,Kimono Pink,HeadBand Red,Happy,Coin
28,AstarCat#0028,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Blue,Flower T-shirt Orange,Sleepy,Blue,Uhh,HeadBand Green,None,Flower T-shirt Orange,HeadBand Green,Uhh,None
29,AstarCat#0029,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Heart,Track Suit Blue,Squint,Pink,Frown,Nightcap Blue,Rainbow Fish,Track Suit Blue,Nightcap Blue,Frown,Rainbow Fish
30,AstarCat#0030,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Sparkle,Heart T-shirt Yellow,Sparkle,Pink,Frown,Sauna Hat Yellow,None,Heart T-shirt Yellow,Sauna Hat Yellow,Frown,None
31,AstarCat#0031,AstarCats info,https://astar-cats.xyz/,FFFFFF,Gold,Mountain,Track Suit Blue,Happy,Gold,Happy,Sauna Hat Yellow,None,Track Suit Blue,Sauna Hat Yellow,Happy,None
32,AstarCat#0032,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Night,Striped Shirt Gray,Squint,Yellow,Frown,Silk Hat White,None,Striped Shirt Gray,Silk Hat White,Frown,None
33,AstarCat#0033,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Rain,Track Suit Gray,Cry,Yellow,Tongue,Cap Blue,Ghost,Track Suit Gray,Cap Blue,Tongue,Ghost
34,AstarCat#0034,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Rain,Hoodie Orange,Dozing,Zombie,Yammy,Sauna Hat Yellow,Froggy,Hoodie Orange,Sauna Hat Yellow,Yammy,Froggy
